feature,imp
Z_score_p12S_Tortoise_ARPEU,0.216239214
Z_score_p3_Falcon_Gross_inv,0.268697023
Z_score_p4N_Falcon_Closing,0.305389404
Z_score_p6_Tortoise_NetAdds,0.335170746
Z_score_p9_Falcon_ARPEU,0.389581919
recent_max_Falcon_NetAdds,0.39796716
Z_score_p3N_Falcon_ARPEU_inv,0.415479779
Z_score_p2N_Tortoise_Gross_inv,0.458296776
Z_score_p2S_Falcon_Opening_inv,0.498566926
Z_score_p12S_Tortoise_Migrate_inv,0.531782687
Z_score_p14N_Falcon_Gross_inv,0.53801918
Z_score_p6N_Tortoise_Revenue,0.568318367
Z_score_p1N_Tortoise_Revenue,0.581423759
Z_score_p9N_Falcon_ARPNU_inv,0.585184216
Z_score_p1N_Falcon_Opening_inv,0.58941555
Z_score_p12_Falcon_Opening,0.592441738
recent_max_Falcon_ARPEU_inv,0.59347105
Z_score_p13_Tortoise_Opening,0.600602388
Z_score_p6N_Falcon_Gross_inv,0.602210701
Z_score_p1N_Tortoise_NetAdds_inv,0.650384188
recent_std_Tortoise_Closing,0.662539005
Z_score_p9N_Falcon_ARPNU,0.674051046
Z_score_p7_Falcon_ARPEU,0.674826622
Z_score_p10S_Tortoise_Migrate_inv,0.731732607
Z_score_p14_Tortoise_Migrate,0.738482475
Z_score_p13_Tortoise_Gross,0.767485678
Z_score_p1N_Falcon_NetAdds_inv,0.7727833095
Z_score_p4N_Falcon_ARPEU,0.780548811
recent_ptp_Tortoise_ARPNU,0.791759968
Z_score_p6S_Falcon_ARPEU_inv,0.796000063
Z_score_p4N_Falcon_ARPNU,0.842297403
Z_score_p1S_Falcon_Gross_inv,0.849903555
Z_score_p9N_Tortoise_Opening,0.851242244
Z_score_p15N,0.8541400833333334
Z_score_p7_Falcon_Migrate_inv,0.873015881
Z_score_p6_Falcon_Gross,0.8787984824999999
Z_score_p11_Tortoise_Closing,0.900138378
Z_score_p1S_Falcon_Opening,0.913990021
Z_score_p8S_Falcon_NetAdds_inv,0.914401829
Z_score_p6S_Falcon_Revenue,0.966516495
Z_score_p14N,0.9666437152
Z_score_p0N_Falcon_Revenue,0.98066324
Z_score_p0_Falcon_Closing_inv,0.989873409
Z_score_p14S_Tortoise_Opening,1.00949001
Z_score_p3S_Tortoise_NetAdds_inv,1.01689053
Z_score_p13S_Tortoise_ARPNU,1.022982
Z_score_p4S_Tortoise_Migrate,1.02353656
Z_score_p6S_Tortoise_NetAdds,1.02420998
Z_score_p0_Tortoise_Gross_inv,1.0269588843333333
Z_score_p5N_Falcon_NetAdds,1.03420699
Z_score_p7S_Tortoise_ARPNU,1.0347011496666665
Z_score_p3N_Tortoise_Gross_inv,1.03508282
Z_score_p11_Tortoise_Opening,1.04071903
Z_score_p12S_Falcon_Closing,1.04191709
Z_score_p12_Falcon_Revenue_inv,1.0428772
Z_score_p3_Falcon_Gross,1.0483223188
Z_score_p2N_Tortoise_ARPEU_inv,1.05162978
Z_score_p4_Tortoise_Leavers_inv,1.05200195
Z_score_p4S_Falcon_Gross_inv,1.05394197
recent_min_Falcon_Revenue,1.0552991625
Z_score_p2N_Tortoise_Revenue,1.0557892709999999
Z_score_p5_Falcon_NetAdds,1.05923462
recent_ptp_Falcon_Closing,1.06232834
recent_max_Tortoise_Closing,1.066065905
Z_score_p0N_Tortoise_Revenue_inv,1.0841074
recent_std_Tortoise_Gross_inv,1.08623075
Z_score_p9_Tortoise_NetAdds,1.08757758
Z_score_p6_Tortoise_Revenue_inv,1.08967781
Z_score_p12_Falcon_NetAdds_inv,1.09879851
